LLLL: abandon
R→x←: salmon
R→x↑: salon
R→x→: salt
R→x↓: salute
R→x■: same
R→x▲: sample
R→x●: sand
R→←L: satisfy
R→←R: satoshi
R→←x: sauce
R→←←: sausage
R→←↑: save
R→←→: say
R→←↓: scale
R→←■: scan
R→←▲: scare
R→←●: scatter
R→↑L: scene
R→↑R: scheme
R→↑x: school
R→↑←: science
R→↑↑: scissors
R→↑→: scorpion
R→↑↓: scout
R→↑■: scrap
R→↑▲: screen
R→↑●: script
R→→L: scrub
R→→R: sea
R→→x: search
R→→←: season
R→→↑: seat
R→→→: second
R→→↓: secret
R→→■: section
R→→▲: security
R→→●: seed
R→↓L: seek
R→↓R: segment
R→↓x: select
R→↓←: sell
R→↓↑: seminar
R→↓→: senior
R→↓↓: sense
R→↓■: sentence
R→↓▲: series
R→↓●: service
R→■L: session
R→■R: settle
R→■x: setup
R→■←: seven
R→■↑: shadow
R→■→: shaft
R→■↓: shallow
R→■■: share
R→■▲: shed
R→■●: shell
R→▲L: sheriff
R→▲R: shield
R→▲x: shift
R→▲←: shine
R→▲↑: ship
R→▲→: shiver
R→▲↓: shock
R→▲■: shoe
R→▲▲: shoot
R→▲●: shop
R→●L: short
R→●R: shoulder
R→●x: shove
R→●←: shrimp
R→●↑: shrug
R→●→: shuffle
R→●↓: shy
R→●■: sibling
R→●▲: sick
R→●●: side
R↓LL: siege
R↓LR: sight
R↓Lx: sign
R↓L←: silent
R↓L↑: silk
R↓L→: silly
R↓L↓: silver
R↓L■: similar
R↓L▲: simple
R↓L●: since
R↓RL: sing
R↓RR: siren
R↓Rx: sister
R↓R←: situate
R↓R↑: six
R↓R→: size
R↓R↓: skate
R↓R■: sketch
R↓R▲: ski
R↓R●: skill
R↓xL: skin
R↓xR: skirt
R↓xx: skull
R↓x←: slab
R↓x↑: slam
R↓x→: sleep
R↓x↓: slender
R↓x■: slice
R↓x▲: slide
R↓x●: slight
R↓←L: slim
R↓←R: slogan
R↓←x: slot
R↓←←: slow
R↓←↑: slush
R↓←→: small
R↓←↓: smart
R↓←■: smile
R↓←▲: smoke
R↓←●: smooth
R↓↑L: snack
R↓↑R: snake
R↓↑x: snap
R↓↑←: sniff
R↓↑↑: snow
R↓↑→: soap
R↓↑↓: soccer
R↓↑■: social
R↓↑▲: sock
R↓↑●: soda
R↓→L: soft
R↓→R: solar
R↓→x: soldier
R↓→←: solid
R↓→↑: solution
R↓→→: solve
R↓→↓: someone
R↓→■: song
R↓→▲: soon
R↓→●: sorry
R↓↓L: sort
R↓↓R: soul
R↓↓x: sound
R↓↓←: soup
R↓↓↑: source
R↓↓→: south
R↓↓↓: space
R↓↓■: spare
R↓↓▲: spatial
R↓↓●: spawn
R↓■L: speak
R↓■R: special
R↓■x: speed
R↓■←: spell
R↓■↑: spend
R↓■→: sphere
R↓■↓: spice
R↓■■: spider
R↓■▲: spike
R↓■●: spin
R↓▲L: spirit
R↓▲R: split
R↓▲x: spoil
R↓▲←: sponsor
R↓▲↑: spoon
R↓▲→: sport
R↓▲↓: spot
R↓▲■: spray
R↓▲▲: spread
R↓▲●: spring
R↓●L: spy
R↓●R: square
R↓●x: squeeze
R↓●←: squirrel
R↓●↑: stable
R↓●→: stadium
R↓●↓: staff
R↓●■: stage
R↓●▲: stairs
R↓●●: stamp
R■LL: stand
R■LR: start
R■Lx: state
R■L←: stay
R■L↑: steak
R■L→: steel
R■L↓: stem
R■L■: step
R■L▲: stereo
R■L●: stick
R■RL: still
R■RR: sting
R■Rx: stock
R■R←: stomach
R■R↑: stone
R■R→: stool
R■R↓: story
R■R■: stove
R■R▲: strategy
R■R●: street
R■xL: strike
R■xR: strong
R■xx: struggle
R■x←: student
R■x↑: stuff
R■x→: stumble
R■x↓: style
R■x■: subject
R■x▲: submit
R■x●: subway
R■←L: success
R■←R: such
R■←x: sudden
R■←←: suffer
R■←↑: sugar
R■←→: suggest
R■←↓: suit
R■←■: summer
R■←▲: sun
R■←●: sunny
R■↑L: sunset
R■↑R: super
R■↑x: supply
R■↑←: supreme
R■↑↑: sure
R■↑→: surface
R■↑↓: surge
R■↑■: surprise
R■↑▲: surround
R■↑●: survey
R■→L: suspect
R■→R: sustain
R■→x: swallow
R■→←: swamp
R■→↑: swap
R■→→: swarm
R■→↓: swear
R■→■: sweet
R■→▲: swift
R■→●: swim
R■↓L: swing
R■↓R: switch
R■↓x: sword
R■↓←: symbol
R■↓↑: symptom
R■↓→: syrup
R■↓↓: system
R■↓■: table
R■↓▲: tackle
R■↓●: tag
R■■L: tail
R■■R: talent
R■■x: talk
R■■←: tank
R■■↑: tape
R■■→: target
R■■↓: task
R■■■: taste
R■■▲: tattoo
R■■●: taxi
R■▲L: teach
R■▲R: team
R■▲x: tell
R■▲←: ten
R■▲↑: tenant
R■▲→: tennis
R■▲↓: tent
R■▲■: term
R■▲▲: test
R■▲●: text
R■●L: thank
R■●R: that
R■●x: theme
R■●←: then
R■●↑: theory
R■●→: there
R■●↓: they
R■●■: thing
R■●▲: this
R■●●: thought
R▲LL: three
R▲LR: thrive
R▲Lx: throw
R▲L←: thumb
R▲L↑: thunder
R▲L→: ticket
R▲L↓: tide
R▲L■: tiger
R▲L▲: tilt
R▲L●: timber
R▲RL: time
R▲RR: tiny
R▲Rx: tip
R▲R←: tired
R▲R↑: tissue
R▲R→: title
R▲R↓: toast
R▲R■: tobacco
R▲R▲: today
R▲R●: toddler
R▲xL: toe
R▲xR: together
R▲xx: toilet
R▲x←: token
R▲x↑: tomato
R▲x→: tomorrow
R▲x↓: tone
R▲x■: tongue
R▲x▲: tonight
R▲x●: tool
R▲←L: tooth
R▲←R: top
R▲←x: topic
R▲←←: topple
R▲←↑: torch
R▲←→: tornado
R▲←↓: tortoise
R▲←■: toss
R▲←▲: total
R▲←●: tourist
R▲↑L: toward
R▲↑R: tower
R▲↑x: town
R▲↑←: toy
R▲↑↑: track
R▲↑→: trade
R▲↑↓: traffic
R▲↑■: tragic
R▲↑▲: train
R▲↑●: transfer
R▲→L: trap
R▲→R: trash
R▲→x: travel
R▲→←: tray
R▲→↑: treat
R▲→→: tree
R▲→↓: trend
R▲→■: trial
R▲→▲: tribe
R▲→●: trick
R▲↓L: trigger
R▲↓R: trim
R▲↓x: trip
R▲↓←: trophy
R▲↓↑: trouble
R▲↓→: truck
R▲↓↓: true
R▲↓■: truly
R▲↓▲: trumpet
R▲↓●: trust
R▲■L: truth
R▲■R: try
R▲■x: tube
R▲■←: tuition
R▲■↑: tumble
R▲■→: tuna
R▲■↓: tunnel
R▲■■: turkey
R▲■▲: turn
R▲■●: turtle
R▲▲L: twelve
R▲▲R: twenty
R▲▲x: twice
R▲▲←: twin
R▲▲↑: twist
R▲▲→: two
R▲▲↓: type
R▲▲■: typical
R▲▲▲: ugly
R▲▲●: umbrella
R▲●L: unable
R▲●R: unaware
R▲●x: uncle
R▲●←: uncover
R▲●↑: under
R▲●→: undo
R▲●↓: unfair
R▲●■: unfold
R▲●▲: unhappy
R▲●●: uniform
R●LL: unique
R●LR: unit
R●Lx: universe
R●L←: unknown
R●L↑: unlock
R●L→: until
R●L↓: unusual
R●L■: unveil
R●L▲: update
R●L●: upgrade
R●RL: uphold
R●RR: upon
R●Rx: upper
R●R←: upset
R●R↑: urban
R●R→: urge
R●R↓: usage
R●R■: use
R●R▲: used
R●R●: useful
R●xL: useless
R●xR: usual
R●xx: utility
R●x←: vacant
R●x↑: vacuum
R●x→: vague
R●x↓: valid
R●x■: valley
R●x▲: valve
R●x●: van
R●←L: vanish
R●←R: vapor
R●←x: various
R●←←: vast
R●←↑: vault
R●←→: vehicle
R●←↓: velvet
R●←■: vendor
R●←▲: venture
R●←●: venue
R●↑L: verb
R●↑R: verify
R●↑x: version
R●↑←: very
R●↑↑: vessel
R●↑→: veteran
R●↑↓: viable
R●↑■: vibrant
R●↑▲: vicious
R●↑●: victory
R●→L: video
R●→R: view
R●→x: village
R●→←: vintage
R●→↑: violin
R●→→: virtual
R●→↓: virus
R●→■: visa
R●→▲: visit
R●→●: visual
R●↓L: vital
R●↓R: vivid
R●↓x: vocal
R●↓←: voice
R●↓↑: void
R●↓→: volcano
R●↓↓: volume
R●↓■: vote
R●↓▲: voyage
R●↓●: wage
R●■L: wagon
R●■R: wait
R●■x: walk
R●■←: wall
R●■↑: walnut
R●■→: want
R●■↓: warfare
R●■■: warm
R●■▲: warrior
R●■●: wash
R●▲L: wasp
R●▲R: waste
R●▲x: water
R●▲←: wave
R●▲↑: way
R●▲→: wealth
R●▲↓: weapon
R●▲■: wear
R●▲▲: weasel
R●▲●: weather
R●●L: web
R●●R: wedding
R●●x: weekend
R●●←: weird
R●●↑: welcome
R●●→: west
R●●↓: wet
R●●■: whale
R●●▲: what
R●●●: wheat
xLLL: wheel
xLLR: when
xLLx: where
xLL←: whip
xLL↑: whisper
xLL→: wide
xLL↓: width
xLL■: wife
xLL▲: wild
xLL●: will
xLRL: win
xLRR: window
xLRx: wine
xLR←: wing
xLR↑: wink
xLR→: winner
xLR↓: winter
xLR■: wire
xLR▲: wisdom
xLR●: wise
xLxL: wish
xLxR: witness
xLxx: wolf
xLx←: woman
xLx↑: wonder
xLx→: wood
xLx↓: wool
xLx■: word
xLx▲: work
xLx●: world
xL←L: worry
xL←R: worth
xL←x: wrap
xL←←: wreck
xL←↑: wrestle
xL←→: wrist
xL←↓: write
xL←■: wrong
xL←▲: yard
xL←●: year
xL↑L: yellow
xL↑R: you
xL↑x: young
xL↑←: youth
xL↑↑: zebra
xL↑→: zero
xL↑↓: zone
xL↑■: zoo
