LLLL: abandon
L←→→: cluster
L←→↓: clutch
L←→■: coach
L←→▲: coast
L←→●: coconut
L←↓L: code
L←↓R: coffee
L←↓x: coil
L←↓←: coin
L←↓↑: collect
L←↓→: color
L←↓↓: column
L←↓■: combine
L←↓▲: come
L←↓●: comfort
L←■L: comic
L←■R: common
L←■x: company
L←■←: concert
L←■↑: conduct
L←■→: confirm
L←■↓: congress
L←■■: connect
L←■▲: consider
L←■●: control
L←▲L: convince
L←▲R: cook
L←▲x: cool
L←▲←: copper
L←▲↑: copy
L←▲→: coral
L←▲↓: core
L←▲■: corn
L←▲▲: correct
L←▲●: cost
L←●L: cotton
L←●R: couch
L←●x: country
L←●←: couple
L←●↑: course
L←●→: cousin
L←●↓: cover
L←●■: coyote
L←●▲: crack
L←●●: cradle
L↑LL: craft
L↑LR: cram
L↑Lx: crane
L↑L←: crash
L↑L↑: crater
L↑L→: crawl
L↑L↓: crazy
L↑L■: cream
L↑L▲: credit
L↑L●: creek
L↑RL: crew
L↑RR: cricket
L↑Rx: crime
L↑R←: crisp
L↑R↑: critic
L↑R→: crop
L↑R↓: cross
L↑R■: crouch
L↑R▲: crowd
L↑R●: crucial
L↑xL: cruel
L↑xR: cruise
L↑xx: crumble
L↑x←: crunch
L↑x↑: crush
L↑x→: cry
L↑x↓: crystal
L↑x■: cube
L↑x▲: culture
L↑x●: cup
L↑←L: cupboard
L↑←R: curious
L↑←x: current
L↑←←: curtain
L↑←↑: curve
L↑←→: cushion
L↑←↓: custom
L↑←■: cute
L↑←▲: cycle
L↑←●: dad
L↑↑L: damage
L↑↑R: damp
L↑↑x: dance
L↑↑←: danger
L↑↑↑: daring
L↑↑→: dash
L↑↑↓: daughter
L↑↑■: dawn
L↑↑▲: day
L↑↑●: deal
L↑→L: debate
L↑→R: debris
L↑→x: decade
L↑→←: december
L↑→↑: decide
L↑→→: decline
L↑→↓: decorate
L↑→■: decrease
L↑→▲: deer
L↑→●: defense
L↑↓L: define
L↑↓R: defy
L↑↓x: degree
L↑↓←: delay
L↑↓↑: deliver
L↑↓→: demand
L↑↓↓: demise
L↑↓■: denial
L↑↓▲: dentist
L↑↓●: deny
L↑■L: depart
L↑■R: depend
L↑■x: deposit
L↑■←: depth
L↑■↑: deputy
L↑■→: derive
L↑■↓: describe
L↑■■: desert
L↑■▲: design
L↑■●: desk
L↑▲L: despair
L↑▲R: destroy
L↑▲x: detail
L↑▲←: detect
L↑▲↑: develop
L↑▲→: device
L↑▲↓: devote
L↑▲■: diagram
L↑▲▲: dial
L↑▲●: diamond
L↑●L: diary
L↑●R: dice
L↑●x: diesel
L↑●←: diet
L↑●↑: differ
L↑●→: digital
L↑●↓: dignity
L↑●■: dilemma
L↑●▲: dinner
L↑●●: dinosaur
L→LL: direct
L→LR: dirt
L→Lx: disagree
L→L←: discover
L→L↑: disease
L→L→: dish
L→L↓: dismiss
L→L■: disorder
L→L▲: display
L→L●: distance
L→RL: divert
L→RR: divide
L→Rx: divorce
L→R←: dizzy
L→R↑: doctor
L→R→: document
L→R↓: dog
L→R■: doll
L→R▲: dolphin
L→R●: domain
L→xL: donate
L→xR: donkey
L→xx: donor
L→x←: door
L→x↑: dose
L→x→: double
L→x↓: dove
L→x■: draft
L→x▲: dragon
L→x●: drama
L→←L: drastic
L→←R: draw
L→←x: dream
L→←←: dress
L→←↑: drift
L→←→: drill
L→←↓: drink
L→←■: drip
L→←▲: drive
L→←●: drop
L→↑L: drum
L→↑R: dry
L→↑x: duck
L→↑←: dumb
L→↑↑: dune
L→↑→: during
L→↑↓: dust
L→↑■: dutch
L→↑▲: duty
L→↑●: dwarf
L→→L: dynamic
L→→R: eager
L→→x: eagle
L→→←: early
L→→↑: earn
L→→→: earth
L→→↓: easily
L→→■: east
L→→▲: easy
L→→●: echo
L→↓L: ecology
L→↓R: economy
L→↓x: edge
L→↓←: edit
L→↓↑: educate
